,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
1197,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/dcef1bb9-962e-4292-aea6-028bfb47661a-1615561855217-67ab0d57d5e63fa30c54b85b3b94b005.jpg,RedDoorz near Manhattan Square Medan,Hotel,Medan Helvetia Medan,Jl. Asrama 58-84. Dwi Kora. Kec. Medan Helvetia. Kota Medan. Sumatera Utara 20123,4.3,196850,308610,3.598666,98.627225
1198,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/20/4f79cb1a-f6b8-4792-85d0-9d78d0c62a7f-1650444331253-2287fa0fd98d032987198a8789d0f916.jpg,RedDoorz Plus @ Vantas Hotel Parbaba,Hotel,Pangururan Samosir,Jalan Raya Simanindo. Desa Sialanguan Kecamataa Pangururan Kabupaten Samosir Samosir Sumatera Utara. 22395,3.9,429975,532677,2.70424,98.701323
1199,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/7a5f0403-6b52-4698-bf39-060b08aef71e-1604168263612-764b18945d47cc16a80002a941bf056a.jpg,OYO 1811 Citra Anggrek,Hotel,Medan Tuntungan Medan,Jl. Anggrek Raya No.24. Simpang Selayang. Kec. Medan Tuntungan. Medan,4.2,75953,88000,3.533211,98.622656
1200,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/06/15/5f1e3dd2-ab2b-4ba5-bd8b-88a2382bd69b-1623747262848-ac72358affa67e4c7e42d8470b179c7d.jpg,OYO 90331 Hotel Toba Shanda,Hotel,Toba,Parapat. Simalungun. Sumatera Utara. Indonesia. Toba Samosir,3.6,113419,354562,2.662515,98.934163
1201,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/53ddff01-5285-442c-86ad-ac23d841707c-1604163849678-efa1a562de424fa511663ddb769968c6.jpg,Reddoorz Plus near Millenium ICT Centre Medan 2,Hotel,Medan Helvetia Medan,Jl. Danau Singkarak No.3. Helvetia Tim.. Kec. Medan Helvetia. Kota Medan. Sumatera Utara 20117. Indonesia,4.0,223560,467820,3.604406,98.650592
1202,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/b61c15ff-8a32-47ec-b910-6516efa697f9-1615549551608-186eddc4ab44d88e274227ae115ee4ea.jpg,OYO 1140 Hotel Tresya Tanjung Balai,Hotel,Datuk Bandar Tanjungbalai,Jl. Jendral Sudirman KM. 65. Sijambi. Tanjung Balai. Kota Tanjung Balai. Sumatera Utara 21361. Tanjung Balai,3.6,86994,365750,2.944198,99.757722
1203,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/4d2cf166-f034-4325-a345-8d0ce3cf0dbd-1615560996092-f45c4b119aafe1526aa1648bc4c5ce86.jpg,RedDoorz Syariah near Jalan Asahan Pematang Siantar,Hotel,Siantar Timur Pematangsiantar,Jl. Sangnawaluh No.103. Siopat Suhu. Kec. Siantar Tim.. Kota Pematang Siantar. Sumatera Utara 21151. Indonesia,3.5,227500,409500,2.966272,99.087712
1204,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/12/06/0bc98b45-3558-4b79-91f7-a47bbc181e91-1607252451313-dd1d78b1894982a49d0027b643b18bc5.jpg,Anda Hotel,Hostal,Siantar Utara Pematangsiantar,Merdeka. East Siantar. Pematang Siantar City. North Sumatra 21143. Indonesia,3.6,240350,900000,2.967886,99.076242
1205,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/a779e465-d138-422e-b41c-5f734874a04c-1615551931976-f820c2701d9aa82fd91fd85c9b4a9444.jpg,OYO 1763 Dinda Residence Syariah,Hotel,Medan Petisah Medan,Jl. Ayahanda No.16. Sei Putih Tengah. Kec. Medan Petisah. Kota Medan. Sumatera Utara. Medan,2.6,54512,94640,3.592004,98.653529
1206,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/57b455e1-829c-4985-b315-42a86d8c7e09-1604131400638-25cc0e05f999c22e0ed615f4f2f075d3.jpg,RedDoorz near Millennium ICT Center Medan,Guest House,Medan Helvetia Medan,Jl Gaperta No.200. Helvetia. Medan Sumatera Utara,4.2,128422,265590,3.605155,98.631911
1207,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/29dd697f-270b-4dee-bf9c-05b8dda17044-1604142138448-57865dfdbe2940aec1ba08f41e498164.jpg,RedDoorz near Mikie Holiday Funland Berastagi,Guest House,Tiga Panah Karo,Jl. Jamin Ginting No.10. Sempajaya. Kec. Berastagi. Kabupaten Karo. Sumatera Utara 22152. Indonesia,3.3,196650,468205,3.19969,98.525592
1208,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/14/181618f7-2fe1-4227-b79d-6ad2b07380c2-1642144528175-da992b2411882dfff00f28eed59708f8.jpg,Sibayak Multi National Rest House,Guest House,Berastagi Karo,Jl. Pendidikan No. 08. Jaranguda Berastagi. Indonesia,4.0,330750,330750,3.209525,98.503287
1209,https://www.tiket.com//hotel/v3/assets/f529139b.svg,Permata Inn,Hostel,Medan Barat Medan,Jalan Guru Patimpus Medan No 53.Jalan guru patimpus No. 53,3.2,135000,180000,3.593412160873413,98.66991424560547
1210,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/90afdf34-6e83-408e-8a80-0c9d934952d0-1615541728090-ded4c838d034f31d37e91f7754762634.jpg,OYO 1030 Hotel Bumi Asih,Hotel,Medan Baru Medan,Jl. Sei Bahorok No.20. Babura. Medan Baru. Kota Medan. Sumatera Utara. Medan,3.4,71124,229968,3.578819,98.656213
1211,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/34d6b3b4-2af5-4190-995b-248c2c0588b1-1616072118043-4b214dce5862a6a5fe2de4669dddf2a1.jpg,D&D Guest House & Cafe Syariah,Guest House,Medan Kota Medan,Jl. Halat No.86. Ps. Merah Tim.. Kec. Medan Area. Kota Medan. Sumatera Utara,4.2,163800,450000,3.572176,98.696279
1212,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/18b527d3-dd95-4565-a063-84bf4eee3f1b-1615536321266-c8833ff8dd51ad6949c02402e6c5f77f.jpg,Penginapan Puncak DP,Guest House,Berastagi Karo,Jl. Jaranguda. Jaranguda. Merdeka. Kabupaten Karo. Sumatera Utara,3.1,200175,324871,3.226238,98.512382
