,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
1934,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/ab6b5ce0-de0d-4f54-a909-1aab1d878a14-1604179333290-41d821c5ca6d1e7cb8d4465569076afd.jpg,Hanlis Hotel Sampit,Hotel,Kec. Kota Besi Kotawaringin Timur,Jl. Jenderal Sudirman. Penyang. Kec. Telawang. Kabupaten Kotawaringin Timur. Kalimantan Tengah 74353. Indonesia,4.0,274999,274999,-2.410086,112.459139
1935,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/24/a7293657-6634-4c0c-944c-ceb81e494505-1661308424460-d90995f31c134f5ee1864e6a8d647136.jpg,Sans Hotel City Inn Palangkaraya,Hotel,Jekan Raya Palangkaraya,Jl. Antang. Menteng. Kec. Jekan Raya. Kota Palangka Raya. Kalimantan Tengah 74874. Indonesia,1.9,201307,524745,-2.197262,113.902925
1936,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/077ea68e-0bc3-44f6-a08e-98021f15a900-1615562632917-d84ada0907ebde0def7ea148f8cf595b.jpg,RedDoorz @ Paus Raya,Hotel,Jekan Raya Palangkaraya,Wisma 07. Bukit Tunggal. Palangka Raya City. Central Kalimantan. Indonesia,3.9,295596,295596,-2.181338,113.879609
1937,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/f67c8033-5a65-450f-b29f-4d65eda7bd0f-1615544150685-f4f30dc74769993dd49f0ff6a6ed1c23.jpg,Artz Hotel,Hotel,Jekan Raya Palangkaraya,Jalan Seth Adji No. 31 Panarung. Langkai. Pahandut. Kota Palangka Raya. Kalimantan Tengah 74874,3.6,250499,250499,-2.220072,113.930992
1938,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/458a82a0-bfd8-4ca3-849d-89413c9bbffa-1604152956071-1fc73a52644f7e31a0dfd04e17be620c.jpg,RedDoorz near Stadion Sanaman Mantikei,Hotel,Pahandut Palangkaraya,Jl. Jend. A.yani no. 51 Langkai Palangkaraya. Kota Palangka Raya. Kalimantan Tengah 74874. Indonesia,3.1,248588,392699,-2.20889,113.931097
1939,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/217d7745-2e2d-4beb-80f8-19af5077429d-1615560915474-2850c1e01f727bfaba395d43045b567f.jpg,RedDoorz @ Rajawali KM 5,Guest House,Jekan Raya Palangkaraya,Jl. Paus Raya. Bukit Tunggal. Jakan Raya Palangkaraya Kalimantan Tengah 74874. Indonesia,3.2,191835,231525,-2.181278,113.879591
1940,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/c66e2f80-ce3d-4ce4-9190-d9ca3630784b-1604144263401-05dd8288dc436a303682ade2e152ac59.jpg,RedDoorz near Bundaran Kecil Palangkaraya,Guest House,Pahandut Palangkaraya,Jl. Beruk Angis I No.4. Langkai. Kec. Pahandut. Kota Palangka Raya. Kalimantan Tengah 74874. Indonesia,3.6,252000,265356,-2.221904,113.925003
1941,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/01/db45250d-548b-492a-86b4-bdbbe29d99da-1659338721630-f9f5217a0117d3b14f5abc2e8d95b02e.jpg,RedDoorz @ Wisma Pangrango,Hotel,Jekan Raya Palangkaraya,Jl. Pangrango No.72. Palangka. Kec. Jekan Raya. Kota Palangka Raya. Kalimantan Tengah 73112. Indonesia,3.8,296010,296010,-2.20643,113.906765
1942,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/026d0020-016b-4f92-899e-9068472e337c-1615561994712-2ee23548de68b85ea2090f6ac82cd3c2.jpg,OYO 3428 Hotel Marimar,Hotel,Jekan Raya Palangkaraya,Palangka Raya. Kalimantan Tengah. 73112. Indonesia. Palangkaraya,2.5,139309,298615,-2.192274,113.900791
1943,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/4a8c641a-a016-419e-b165-1d8e6b71be18-1604166661673-0d369759110be41ebcaa3cd2d57db1a8.jpg,GUEST HOUSE ANAK RAJA PANGKALANBUN,Hotel,Kec. Arut Selatan Kotawaringin Barat,JL.AHMAT YANI GANG NILA 2 NO 1 KAMPUNG BARU.PANGKALANBUN,3.5,160489,220896,-2.671967,111.645024
