4,1
5,1
6,1
7,1
6,1
7,1
2,2
4,2
5,2
2,3
4,3
7,3
9,3
9,3
7,3
4,4
5,4
6,4
7,4
12,4
6,4
7,4
2,5
4,5
7,5
9,5
9,5
7,5
1,6
2,6
5,6
9,6
9,6
1,6
2,6
1,7
2,7
4,7
5,7
1,7
2,7
2,8
4,8
5,8
7,8
9,8
9,8
7,8
2,9
4,9
5,9
11,9
2,9
2,1
4,1
5,1
11,1
2,11
3,11
4,11
5,11
3,11
4,12
5,12
7,12
9,12
9,12
7,12
4,13
5,13
9,13
9,13
2,14
4,14
5,14
7,14
9,14
9,14
7,14
4,15
5,15
7,15
9,15
9,15
7,15
2,16
4,16
5,16
7,16
9,16
9,16
7,16
2,17
4,17
5,17
9,17
9,17
7,17
5,18
7,18
7,18
4,19
5,19
6,19
7,19
11,19
6,19
7,19
2,2
4,2
5,2
6,2
7,2
6,2
7,2
4,21
11,21
2,22
4,22
5,22
6,22
7,22
9,22
9,22
6,22
7,22
4,23
5,23
7,23
7,23
2,24
4,24
5,24
7,24
9,24
9,24
7,24
2,25
4,25
5,25
6,25
7,25
9,25
11,25
9,25
6,25
7,25
2,25
2,26
4,26
7,26
9,26
9,26
7,26
2,27
4,27
5,27
7,27
9,27
9,27
7,27
2,28
4,28
5,28
7,28
9,28
9,28
7,28
2,29
4,29
5,29
6,29
7,29
9,29
9,29
6,29
7,29
4,3
5,3
7,3
9,3
9,3
7,3
2,31
4,31
5,31
2,31
4,32
5,32
7,32
9,32
9,32
7,32
2,33
4,33
5,33
2,33
2,34
4,34
7,34
9,34
9,34
7,34
4,35
5,35
7,35
9,35
9,35
7,35
2,36
4,36
5,36
7,36
9,36
9,36
7,36
2,37
4,37
5,37
2,38
4,38
7,38
9,38
9,38
7,38
2,39
4,39
7,39
9,39
9,39
7,39
2,4
4,4
5,4
2,4
4,41
5,41
7,41
9,41
9,41
7,41
2,42
4,42
7,42
9,42
9,42
7,42
2,43
5,43
4,44
5,44
6,44
4,45
5,45
6,45
7,45
4,46
5,46
5,48
2,49
4,49
5,49
7,49
9,49
9,49
7,49
2,49
7,5
4,51
5,51
7,51
9,51
11,51
9,51
7,51
2,52
4,52
5,52
9,52
11,52
12,52
9,52
2,53
4,53
5,53
6,53
7,53
9,53
9,53
6,53
7,53
2,54
4,54
5,54
6,54
7,54
9,54
11,54
9,54
6,54
7,54
4,55
6,55
9,55
11,55
9,55
6,55
2,56
4,56
5,56
7,56
9,56
9,56
7,56
2,56
2,57
4,57
7,57
9,57
9,57
7,57
4,58
5,58
7,58
9,58
9,58
7,58
5,59
7,59
9,59
11,59
9,59
7,59
2,6
4,6
5,6
7,6
9,6
9,6
7,6
2,61
4,61
5,61
7,61
9,61
9,61
7,61
4,62
5,62
9,62
9,62
7,62
1,63
2,63
4,63
5,63
9,63
9,63
1,63
2,63
4,64
5,64
9,64
9,64
2,65
4,65
5,65
6,65
4,66
5,66
9,66
9,66
