id,Hotel Image,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
979,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/90d1c635-9779-4096-9a44-cbf9081d6b2b-1615558974591-9e4752d4468162a3e132bf22d4cce4bd.jpg,Sweet Homestay,Guest House,Makassar Makassar,Jl. Sungai Poso No.60,Belum ada rating,131043,144000,-5.137522,119.419361
980,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/04/4022386b-6061-4a50-8db9-f637bf7f019e-1630745130179-06ee5f2946ad360340de2631eb11c39c.jpg,Wisma Rosse Life Bandara,Guest House,Biring Kanaya Makassar,Jl. Perintis Kemerdekaan No.KM 19. Sudiang. Kec. Biringkanaya. Kota Makassar. Sulawesi Selatan,3.8,142500,285000,-5.070403,119.524632
981,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/83ad885f-ba99-467f-9680-f350a572a3c6-1604136408684-cdb5cdd9e61a39617d7e49e91f396fd5.jpg,Pondok Green Adhyaksa Syariah,Hotel,Rappocini Makassar,Jl. Adhyaksa 1 No.59. Masale. Panakkukang. Kota Makassar. Sulawesi Selatan 90231. Indonesia,3.8,96938,208381,-5.160517,119.445117
982,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/08/21/49ed4162-6f02-47cf-82c9-c01c61101415-1629549045317-1cb74f32fa0f85d216fb3554017e52de.jpg,OYO 90260 Bumi Merpati Residence,Hotel,Mariso Makassar,2. Jl. Merpati No.2aa. Kunjung Mae. Kec. Mariso. Makassar,4.2,90200,90200,-5.149974,119.414234
983,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/26/239a2e85-95e1-447d-842b-e6eee8f5ae30-1661498751558-4620cec936c006f250cdf3f7b202956a.jpg,Hotel Transit 1 Makassar RedPartner,Hotel,Mamajang Makassar,Jl. Poros Makassar - Maros No.6. Mamajang Luar. Kec. Mamajang. Kota Makassar. Sulawesi Selatan 90552,3.7,144160,190563,-5.154933,119.418662
984,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/04/b86f6883-c096-4857-bf25-b482ed7a33f8-1641293125062-4f90321c83da04568ca475276326e375.jpg,Hotel Marina (Formerly Agraha Hotel),Hotel,Bontoala Makassar,Jl. Andalas No.178. Bontoala. Makassar. Sulawesi Selatan. Indonesia. 90111,3.1,165000,400000,-5.124297,119.418431
985,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/27/659634a7-6bce-4d79-ada6-844b67de103d-1632736221752-4a6bdd7005811602cdec14bfb7d5badc.jpg,DARRA HOMESTAY TORAJA,Vacation Home,Rantepao Tana Toraja,jl.darra tagari tallunglipu,4.6,285000,1650000,-2.961639881134033,119.90901184082031
986,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/5b5e54cf-ade4-4b7a-b256-09d431410fd4-1604149301642-89defb69474d0c529beca584dc03b4c0.jpg,Hotel Mutiara Khadijah,Guest House,Biring Kanaya Makassar,Gang Bakung No.5. Sudiang. Makassar. Kota Makassar. Sulawesi Selatan,Belum ada rating,230553,380699,-5.084168,119.529708
987,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/04/10/b0b32e9d-662f-4224-bdce-8552db32c30d-1618071320240-7dbd26405ef4ccfce5836d2f7a485ce8.jpg,Guest House Bibong Makassar RedPartner,Hotel,Mandai Maros,Jalan Radio IV. No 37A. Paccerakkang. Kecamatan Biringkanaya,3.8,196159,296800,-5.128831,119.509164
988,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/ee011ae8-1cf7-45e3-96b0-ea6e87918b3a-1603923930292-490386b249b0f020e10b43b174e03691.jpg,Hotel Lotus,Hotel,Parepare,jalan zasilia nomor 29,3.0,251808,312049,-4.005094,119.623293
989,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/6ec1499a-1259-40f1-98bc-45dbda8d06d9-1604171321944-4e7bbc3a1e0e3830f490dce9cff8db18.jpg,OYO 1935 Hotel Diamond Inn Makassar,Hotel,Ujung Pandang Makassar,Jl. Ince Nurdin No. 2. Sawerigading. Kec. Ujung Pandang. Makassar,Belum ada rating,166208,202500,-5.138746,119.412219
990,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/04/11/89779244-cec2-4e5f-aa6a-f3f5ab35f566-1618149916186-6b37699b164efd7b4169a9f6bcf5c9eb.jpg,Hotel Magellona Makassar RedPartner,Hotel,Makassar Makassar,Jalan Monginsidi. No.17. Maricaya Baru. Kecamatan Makassar,3.0,107209,249846,-5.148084,119.420408
991,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/3596aca1-a849-4e3b-85ab-dca12caeeee5-1615561629728-e056f76e09affdc5c9d893e20c7fd549.jpg,Kost Aka,Guest House,Wajo Makassar,Jl. Kyai H. Agus Salim No.5. Pattunuang. Kec. Wajo. Kota Makassar. Sulawesi Selatan 90174,Belum ada rating,103037,103037,-5.130443,119.415268
